Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
E-SAT---2.6.X-8.1.0,8.1.0,1.97987,0,366,0,0
E---3.0-8.2.0,8.2.0,1.97378,0,364,0,0
E-SAT---3.0-8.2.0,8.2.0,1.96772,0,363,0,0
iProver---2.0-6.3.0,6.3.0,1.90267,20.80738,323,0,0
Vampire---4.2-7.0.0,7.0.0,1.8926,0,356,0,0
Vampire---4.2-7.1.0,7.1.0,1.8926,0,356,0,0
Vampire---4.2-7.2.0,7.2.0,1.8926,0,356,0,0
iProver---2.7.5-7.2.0,7.2.0,1.78671,0,325,0,0
Vampire---4.7-8.2.0,8.2.0,1.76886,0,347,0,0
iProver---2.5-6.4.0,6.4.0,1.76045,0.33333,317,0,0
Vampire---4.3-7.3.0,7.3.0,1.7581,0,343,0,0
Vampire---4.5.1-7.5.0,7.5.0,1.74113,0,339,0,0
Vampire---4.6.1-8.0.0,8.0.0,1.74113,0,339,0,0
Vampire---4.5-7.4.0,7.4.0,1.72705,0,339,0,0
iProver---2.6-7.1.0,7.1.0,1.7259,0,313,0,0
iProver---2.6-7.0.0,7.0.0,1.70061,0,310,0,0
Mace4---1109a-6.4.0,6.4.0,1.66237,1.83333,273,0,0
Mace4---1109a-7.0.0,7.0.0,1.66237,0,273,0,0
Mace4---1109a-7.1.0,7.1.0,1.66237,0,273,0,0
Mace4---1109a-7.2.0,7.2.0,1.66237,0,273,0,0
Mace4---1109a-7.3.0,7.3.0,1.66237,0,273,0,0
Mace4---1109a-7.4.0,7.4.0,1.66237,0,273,0,0
Mace4---1109a-7.5.0,7.5.0,1.66237,0,273,0,0
Mace4---1109a-8.0.0,8.0.0,1.66237,0,273,0,0
Mace4---1109a-8.1.0,8.1.0,1.66237,0,273,0,0
Mace4---1109a-8.2.0,8.2.0,1.66237,0,273,0,0
Vampire---4.6.1-8.1.0,8.1.0,1.6578,0,337,0,0
Equinox---6.0.1a-8.1.0,8.1.0,1.60741,0,334,0,0
Equinox---6.0.1a-8.2.0,8.2.0,1.60741,0,334,0,0
Etableau---0.67-8.0.0,8.0.0,1.55927,0,293,0,0
Etableau---0.67-8.1.0,8.1.0,1.54389,0,292,0,0
Etableau---0.67-8.2.0,8.2.0,1.54389,0,292,0,0
Z3---4.4.1-6.4.0,6.4.0,1.54302,0,326,0,0
Z3---4.4.1-7.0.0,7.0.0,1.54302,0,326,0,0
Z3---4.4.1-7.1.0,7.1.0,1.54302,0,326,0,0
Z3---4.4.1-7.2.0,7.2.0,1.54302,0,326,0,0
Z3---4.4.1-7.3.0,7.3.0,1.54302,0,326,0,0
Mace4---1109a-6.3.0,6.3.0,1.51841,18.01464,269,0,0
Z3---4.4-TPTP-6.3.0,6.3.0,1.47428,17.7534,318,0,0
Z3---4.8.9.0-8.1.0,8.1.0,1.46145,0,316,0,0
Equinox---6.0.1a-7.1.0,7.1.0,1.45466,0,306,0,0
Equinox---6.0.1a-7.2.0,7.2.0,1.45466,0,306,0,0
Equinox---6.0.1a-7.3.0,7.3.0,1.45466,0,306,0,0
Equinox---6.0.1a-7.4.0,7.4.0,1.45466,0,306,0,0
Equinox---6.0.1a-7.5.0,7.5.0,1.45466,0,306,0,0
Equinox---6.0.1a-8.0.0,8.0.0,1.45466,0,306,0,0
Z3---4.8.9.0-7.4.0,7.4.0,1.45298,0,315,0,0
Z3---4.8.9.0-7.5.0,7.5.0,1.45298,0,315,0,0
Z3---4.8.9.0-8.0.0,8.0.0,1.45298,0,315,0,0
Z3---4.8.9.0-8.2.0,8.2.0,1.45298,0,315,0,0
Drodi---3.3.3-8.1.0,8.1.0,1.418,0,309,0,0
iProver-Eq---0.85-6.3.0,6.3.0,1.35382,15.93632,292,0,0
iProver-Eq---0.85-6.4.0,6.4.0,1.35382,0,292,0,0
iProver-Eq---0.85-7.0.0,7.0.0,1.35382,0,292,0,0
iProver-Eq---0.85-7.1.0,7.1.0,1.35382,0,292,0,0
iProver-Eq---0.85-7.2.0,7.2.0,1.35382,0,292,0,0
iProver-Eq---0.85-7.3.0,7.3.0,1.35382,0,292,0,0
iProver-Eq---0.85-7.4.0,7.4.0,1.35382,0,292,0,0
iProver-Eq---0.85-7.5.0,7.5.0,1.35382,0,292,0,0
iProver-Eq---0.85-8.0.0,8.0.0,1.35382,0,292,0,0
iProver-Eq---0.85-8.1.0,8.1.0,1.35382,0,292,0,0
iProver-Eq---0.85-8.2.0,8.2.0,1.35382,0,292,0,0
Metis---2.4-8.1.0,8.1.0,1.25357,0,272,0,0
Metis---2.4-8.2.0,8.2.0,1.25357,0,272,0,0
Metis---2.4-7.3.0,7.3.0,1.2474,0,271,0,0
Metis---2.4-7.4.0,7.4.0,1.2474,0,271,0,0
Metis---2.4-7.5.0,7.5.0,1.2474,0,271,0,0
Metis---2.4-8.0.0,8.0.0,1.2474,0,271,0,0
Metis---2.3-6.3.0,6.3.0,1.24622,15.20364,271,0,0
Metis---2.3-6.4.0,6.4.0,1.24622,0,271,0,0
Metis---2.3-7.0.0,7.0.0,1.24622,0,271,0,0
Metis---2.3-7.1.0,7.1.0,1.24622,0,271,0,0
Metis---2.3-7.2.0,7.2.0,1.24622,0,271,0,0
E-Darwin---1.5-6.3.0,6.3.0,1.19907,14.41399,274,0,0
E-Darwin---1.5-6.4.0,6.4.0,1.19907,0,274,0,0
E-Darwin---1.5-7.0.0,7.0.0,1.19907,0,274,0,0
E-Darwin---1.5-7.1.0,7.1.0,1.19907,0,274,0,0
E-Darwin---1.5-7.2.0,7.2.0,1.19907,0,274,0,0
E-Darwin---1.5-7.3.0,7.3.0,1.19907,0,274,0,0
E-Darwin---1.5-7.4.0,7.4.0,1.19907,0,274,0,0
E-Darwin---1.5-7.5.0,7.5.0,1.19907,0,274,0,0
E-Darwin---1.5-8.0.0,8.0.0,1.19907,0,274,0,0
E-Darwin---1.5-8.1.0,8.1.0,1.19907,0,274,0,0
E-Darwin---1.5-8.2.0,8.2.0,1.19907,0,274,0,0
SPASS---3.7-6.3.0,6.3.0,1.17636,14.11048,258,0,0
SPASS---3.7-6.4.0,6.4.0,1.17636,0,258,0,0
SPASS---3.9-7.0.0,7.0.0,1.17578,0,257,0,0
SPASS---3.9-7.1.0,7.1.0,1.17578,0,257,0,0
SPASS---3.9-7.2.0,7.2.0,1.17578,0,257,0,0
SPASS---3.9-7.3.0,7.3.0,1.17578,0,257,0,0
SPASS---3.9-7.4.0,7.4.0,1.17578,0,257,0,0
SPASS---3.9-7.5.0,7.5.0,1.17578,0,257,0,0
SPASS---3.9-8.0.0,8.0.0,1.17578,0,257,0,0
SPASS---3.9-8.1.0,8.1.0,1.17578,0,257,0,0
SPASS---3.9-8.2.0,8.2.0,1.17578,0,257,0,0
Drodi---3.5.1-8.2.0,8.2.0,1.17177,0,261,0,0
Beagle---0.9.47-7.0.0,7.0.0,1.15722,0.5,250,0,0
Beagle---0.9.47-7.1.0,7.1.0,1.15722,0,250,0,0
Beagle---0.9.47-7.2.0,7.2.0,1.15722,0,250,0,0
Beagle---0.9.47-7.3.0,7.3.0,1.15722,0,250,0,0
Beagle---0.9.47-7.4.0,7.4.0,1.15722,0,250,0,0
Beagle---0.9.47-7.5.0,7.5.0,1.15722,0,250,0,0
