Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
SRASS---0.1-6.3.0,6.3.0,13.20664,181.64906,3427,0,2
SRASS---0.1-6.4.0,6.4.0,13.20664,0,3427,0,0
SRASS---0.1-7.0.0,7.0.0,13.20664,0,3427,0,0
SRASS---0.1-7.1.0,7.1.0,13.20664,0,3427,0,0
SRASS---0.1-7.2.0,7.2.0,13.20664,0,3427,0,0
SRASS---0.1-7.3.0,7.3.0,13.12127,0,3389,0,0
SRASS---0.1-7.4.0,7.4.0,13.12127,0,3389,0,0
SRASS---0.1-7.5.0,7.5.0,13.12127,0,3389,0,0
SRASS---0.1-8.0.0,8.0.0,13.12127,0,3389,0,0
SRASS---0.1-8.1.0,8.1.0,13.12127,0,3389,0,0
SRASS---0.1-8.2.0,8.2.0,13.12127,0,3389,0,0
Fampire---1.3-8.1.0,8.1.0,13.12117,0,3329,0,0
Fampire---1.3-8.2.0,8.2.0,13.12117,0,3329,0,0
SInE---0.4-7.3.0,7.3.0,13.05061,0.07294,3322,0,0
SInE---0.4-7.4.0,7.4.0,13.05061,0,3322,0,0
SInE---0.4-7.5.0,7.5.0,13.05061,0,3322,0,0
SInE---0.4-8.0.0,8.0.0,13.05061,0,3322,0,0
SInE---0.4-8.1.0,8.1.0,13.05061,0,3322,0,0
SInE---0.4-8.2.0,8.2.0,13.05061,0,3322,0,0
SInE---0.4-7.1.0,7.1.0,13.04007,0,3320,0,0
SInE---0.4-7.2.0,7.2.0,13.04007,0,3320,0,0
SInE---0.4-6.3.0,6.3.0,12.93489,174.78117,3305,0,0
SInE---0.4-6.4.0,6.4.0,12.93489,0,3305,0,0
SInE---0.4-7.0.0,7.0.0,12.93489,0,3305,0,0
Fampire---1.3-8.0.0,8.0.0,12.75828,0,3296,0,0
Fampire---1.3-7.3.0,7.3.0,12.73197,0.07294,3295,0,0
Fampire---1.3-7.4.0,7.4.0,12.73197,0,3295,0,0
Fampire---1.3-7.5.0,7.5.0,12.73197,0,3295,0,0
Fampire---1.3-7.1.0,7.1.0,12.72143,0,3293,0,0
Fampire---1.3-7.2.0,7.2.0,12.72143,0,3293,0,0
Fampire---1.3-6.3.0,6.3.0,12.71728,174.37138,3292,0,1
Fampire---1.3-6.4.0,6.4.0,12.71728,0,3292,0,0
Fampire---1.3-7.0.0,7.0.0,12.71728,0,3292,0,0
iProver-SAT---3.0-7.3.0,7.3.0,12.56289,1.07294,3366,0,1
iProver-SAT---3.0-7.4.0,7.4.0,12.56289,0,3366,0,0
Z3---4.4.1-7.3.0,7.3.0,11.72999,0.07294,3051,0,0
Z3---4.4.1-7.1.0,7.1.0,11.71946,0,3049,0,0
Z3---4.4.1-7.2.0,7.2.0,11.71946,0,3049,0,0
Z3---4.4.1-6.4.0,6.4.0,11.71453,2,3047,0,2
Z3---4.4.1-7.0.0,7.0.0,11.71453,0,3047,0,0
Z3---4.8.9.0-8.1.0,8.1.0,11.62926,0,3044,0,0
Z3---4.8.9.0-8.2.0,8.2.0,11.59651,0,3041,0,0
Z3---4.8.9.0-7.4.0,7.4.0,11.58967,0,3041,0,0
Z3---4.8.9.0-7.5.0,7.5.0,11.58967,0,3041,0,0
Z3---4.8.9.0-8.0.0,8.0.0,11.58967,0,3041,0,0
iProver-SAT---2.6-7.1.0,7.1.0,11.2074,0,3085,0,0
iProver-SAT---2.6-7.2.0,7.2.0,11.2074,0,3085,0,0
Z3---4.4-TPTP-6.3.0,6.3.0,10.83332,145.09284,2959,0,0
ePrincess---1.0-7.3.0,7.3.0,10.76113,0.07294,3009,0,0
ePrincess---1.0-7.4.0,7.4.0,10.76113,0,3009,0,0
ePrincess---1.0-7.5.0,7.5.0,10.76113,0,3009,0,0
ePrincess---1.0-8.0.0,8.0.0,10.76113,0,3009,0,0
ePrincess---1.0-7.1.0,7.1.0,10.75059,0,3007,0,0
ePrincess---1.0-7.2.0,7.2.0,10.75059,0,3007,0,0
ePrincess---1.0-6.3.0,6.3.0,10.73961,148.92622,3006,0,2
ePrincess---1.0-6.4.0,6.4.0,10.73961,0,3006,0,0
ePrincess---1.0-7.0.0,7.0.0,10.73961,0,3006,0,0
ePrincess---1.0-8.1.0,8.1.0,10.7062,0,2992,0,0
ePrincess---1.0-8.2.0,8.2.0,10.7062,0,2992,0,0
cvc5-SAT---1.0-8.2.0,8.2.0,10.69022,0,2807,0,0
Drodi---3.3.3-8.1.0,8.1.0,10.68151,0,3120,0,0
cvc5-SAT---1.0-8.0.0,8.0.0,10.50797,2,2694,0,2
cvc5-SAT---1.0-8.1.0,8.1.0,10.43955,0,2691,0,0
SPASS---3.7-6.3.0,6.3.0,10.36604,140.68932,3045,0,1
SPASS---3.7-6.4.0,6.4.0,10.22989,0,3025,0,0
Princess---170717-8.0.0,8.0.0,10.07369,0,2917,0,0
Princess---150706-6.4.0,6.4.0,10.0654,0,2919,0,0
Princess---170717-7.3.0,7.3.0,10.06443,0.07294,2916,0,0
Princess---170717-7.4.0,7.4.0,10.06443,0,2916,0,0
Princess---170717-7.5.0,7.5.0,10.06443,0,2916,0,0
Princess---170717-7.1.0,7.1.0,10.0539,0,2914,0,0
Princess---170717-7.2.0,7.2.0,10.0539,0,2914,0,0
Princess---170717-8.1.0,8.1.0,10.0172,0,2912,0,0
CVC4-SAT---1.9-7.5.0,7.5.0,9.99091,0,2676,0,0
Princess---160606-7.0.0,7.0.0,9.97169,0,2898,0,0
SPASS---3.9-8.1.0,8.1.0,9.96124,0,2982,0,0
SPASS---3.9-8.2.0,8.2.0,9.96124,0,2982,0,0
CVC4-SAT---1.7-7.4.0,7.4.0,9.77641,0,2689,0,0
SPASS---3.9-7.0.0,7.0.0,9.75755,0,2953,0,0
SPASS---3.9-7.1.0,7.1.0,9.75755,0,2953,0,0
SPASS---3.9-7.2.0,7.2.0,9.75755,0,2953,0,0
SPASS---3.9-7.3.0,7.3.0,9.75662,0.07294,2953,0,0
