Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
Etableau---0.67-8.0.0,8.0.0,2.85809,0,874,0,0
Vampire-SAT---4.2-7.0.0,7.0.0,2.8378,0.5,404,0,0
SPASS---3.7-6.4.0,6.4.0,2.71204,0,897,0,0
Drodi---3.3.3-8.1.0,8.1.0,2.69182,0,905,0,0
CSE_E---1.4-8.2.0,8.2.0,2.68741,0,803,0,0
SPASS---3.9-8.2.0,8.2.0,2.669,0,892,0,0
SPASS---3.9-8.1.0,8.1.0,2.66594,0,891,0,0
SPASS---3.9-7.0.0,7.0.0,2.6618,0,891,0,0
SPASS---3.9-7.1.0,7.1.0,2.6618,0,891,0,0
SPASS---3.9-7.2.0,7.2.0,2.6618,0,891,0,0
SPASS---3.9-7.3.0,7.3.0,2.6618,0,891,0,0
SPASS---3.9-7.4.0,7.4.0,2.6618,0,891,0,0
SPASS---3.9-7.5.0,7.5.0,2.6618,0,891,0,0
SPASS---3.9-8.0.0,8.0.0,2.6618,0,891,0,0
CSE_E---1.2-7.5.0,7.5.0,2.65904,0,802,0,0
SPASS---3.7-6.3.0,6.3.0,2.65154,32.78938,885,0,0
CSE_E---1.3-8.0.0,8.0.0,2.63811,0,802,0,0
Vampire-SAT---4.0.5-6.4.0,6.4.0,2.63552,1.5,402,0,0
CSE_E---1.3-8.1.0,8.1.0,2.62992,0,801,0,0
CVC4---1.5pre-6.3.0,6.3.0,2.62651,33.87824,805,0,0
Vampire-SAT---4.0-6.3.0,6.3.0,2.60065,28.41766,402,0,0
Drodi---3.1.5-8.0.0,8.0.0,2.57149,0,878,0,0
Equinox---5.0-6.3.0,6.3.0,2.56391,32.31899,872,0,0
Equinox---5.0-6.4.0,6.4.0,2.56391,0,872,0,0
Equinox---5.0-7.0.0,7.0.0,2.56391,0,872,0,0
Beagle---0.9.47-8.2.0,8.2.0,2.53975,0,849,0,0
Beagle---0.9.47-8.1.0,8.1.0,2.53669,0,848,0,0
Metis---2.4-8.1.0,8.1.0,2.521,0,862,0,0
Metis---2.4-8.2.0,8.2.0,2.521,0,862,0,0
Beagle---0.9.47-7.0.0,7.0.0,2.51435,1,844,0,1
Beagle---0.9.47-7.1.0,7.1.0,2.51435,0,844,0,0
Beagle---0.9.47-7.2.0,7.2.0,2.51435,0,844,0,0
Beagle---0.9.47-7.3.0,7.3.0,2.51435,0,844,0,0
Beagle---0.9.47-7.4.0,7.4.0,2.51435,0,844,0,0
Beagle---0.9.47-7.5.0,7.5.0,2.51435,0,844,0,0
Beagle---0.9.47-8.0.0,8.0.0,2.51435,0,844,0,0
Metis---2.4-7.3.0,7.3.0,2.50144,0,859,0,0
Metis---2.4-7.4.0,7.4.0,2.50144,0,859,0,0
Metis---2.4-7.5.0,7.5.0,2.50144,0,859,0,0
Metis---2.4-8.0.0,8.0.0,2.50144,0,859,0,0
cvc5---1.0-8.2.0,8.2.0,2.49412,0,810,0,0
Metis---2.3-6.3.0,6.3.0,2.48298,30.84718,857,0,0
Metis---2.3-6.4.0,6.4.0,2.48298,0,857,0,0
Metis---2.3-7.0.0,7.0.0,2.48298,0,857,0,0
Metis---2.3-7.1.0,7.1.0,2.48298,0,857,0,0
Metis---2.3-7.2.0,7.2.0,2.48298,0,857,0,0
cvc5---1.0-8.0.0,8.0.0,2.47522,0,808,0,0
cvc5---1.0-8.1.0,8.1.0,2.47217,0,807,0,0
Drodi---3.5.1-8.2.0,8.2.0,2.40918,0,845,0,0
CVC4---1.9-7.5.0,7.5.0,2.40366,0,796,0,0
Beagle---0.9.32-6.3.0,6.3.0,2.38998,29.84403,840,0,0
Beagle---0.9.32-6.4.0,6.4.0,2.38998,0,840,0,0
iProver-SAT---2.6-7.0.0,7.0.0,2.38156,0.5,400,0,0
iProver-SAT---3.5-8.0.0,8.0.0,2.37424,0,401,0,0
Leo-III---1.7.0-8.2.0,8.2.0,2.36084,0,762,0,0
Leo-III---1.6.6-8.1.0,8.1.0,2.35322,0,759,0,0
Leo-III---1.7.7-8.2.0,8.2.0,2.33953,0,758,0,0
Isabelle---2016-7.0.0,7.0.0,2.33579,0,787,0,0
Isabelle---2016-7.1.0,7.1.0,2.33579,0,787,0,0
Isabelle---2016-7.2.0,7.2.0,2.33579,0,787,0,0
Isabelle---2016-7.3.0,7.3.0,2.33579,0,787,0,0
Isabelle---2016-7.4.0,7.4.0,2.33579,0,787,0,0
Isabelle---2016-7.5.0,7.5.0,2.33579,0,787,0,0
Isabelle---2016-8.0.0,8.0.0,2.33579,0,787,0,0
Leo-III---1.6.6-8.0.0,8.0.0,2.33481,0,756,0,0
Isabelle---2016-8.1.0,8.1.0,2.33273,0,786,0,0
Isabelle---2016-8.2.0,8.2.0,2.33273,0,786,0,0
Isabelle-HOT---2016-7.0.0,7.0.0,2.33081,0,786,0,0
Isabelle-HOT---2016-7.1.0,7.1.0,2.33081,0,786,0,0
Isabelle-HOT---2016-7.2.0,7.2.0,2.33081,0,786,0,0
Isabelle-HOT---2016-7.3.0,7.3.0,2.33081,0,786,0,0
Isabelle-HOT---2016-7.4.0,7.4.0,2.33081,0,786,0,0
Isabelle-HOT---2016-7.5.0,7.5.0,2.33081,0,786,0,0
Isabelle---2015-6.3.0,6.3.0,2.32725,29.95265,785,0,0
Isabelle-HOT---2015-6.3.0,6.3.0,2.32725,29.95265,785,0,0
Isabelle-HOT---2015-6.4.0,6.4.0,2.32725,0,785,0,0
Isabelle-HOT---2016-8.0.0,8.0.0,2.32456,0,784,0,0
iProver-SAT---2.5-6.4.0,6.4.0,2.32388,0,395,0,0
Isabelle---2015-6.4.0,6.4.0,2.32237,0,784,0,0
Isabelle-HOT---2016-8.1.0,8.1.0,2.3215,0,783,0,0
Isabelle-HOT---2016-8.2.0,8.2.0,2.3215,0,783,0,0
CVC4---1.7-7.4.0,7.4.0,2.30801,0,784,0,0
Leo-III---1.3-7.3.0,7.3.0,2.29537,0,759,0,0
CVC4---1.5j8-6.4.0,6.4.0,2.28528,0,778,0,0
CSE_E---1.1-7.4.0,7.4.0,2.27915,0,785,0,0
CVC4---1.7-7.3.0,7.3.0,2.23234,0,777,0,0
Bliksem---1.12-8.1.0,8.1.0,2.21696,0,801,0,0
Bliksem---1.12-8.2.0,8.2.0,2.21696,0,801,0,0
Geo-III---2016C-7.0.0,7.0.0,2.20337,0,789,0,0
Geo-III---2016C-7.1.0,7.1.0,2.20337,0,789,0,0
Geo-III---2016C-7.2.0,7.2.0,2.20337,0,789,0,0
Geo-III---2018C-8.2.0,8.2.0,2.20101,0,790,0,0
Geo-III---2018C-8.1.0,8.1.0,2.19795,0,789,0,0
iProver-SAT---2.0-6.3.0,6.3.0,2.19585,25.11455,390,0,0
RPx---1.0-8.0.0,8.0.0,2.19565,0,565,0,0
RPx---1.0-8.1.0,8.1.0,2.19565,0,565,0,0
RPx---1.0-8.2.0,8.2.0,2.19565,0,565,0,0
Bliksem---1.12-6.3.0,6.3.0,2.19151,27.5201,794,0,0
Bliksem---1.12-6.4.0,6.4.0,2.19151,0,794,0,0
Bliksem---1.12-7.0.0,7.0.0,2.19151,0,794,0,0
Bliksem---1.12-7.1.0,7.1.0,2.19151,0,794,0,0
Bliksem---1.12-7.2.0,7.2.0,2.19151,0,794,0,0
Bliksem---1.12-7.3.0,7.3.0,2.19151,0,794,0,0
Bliksem---1.12-7.4.0,7.4.0,2.19151,0,794,0,0
Bliksem---1.12-7.5.0,7.5.0,2.19151,0,794,0,0
Bliksem---1.12-8.0.0,8.0.0,2.19151,0,794,0,0
CSE_E---1.0-7.3.0,7.3.0,2.18754,0,774,0,0
Geo-III---2018C-7.3.0,7.3.0,2.18622,0,786,0,0
Geo-III---2018C-7.4.0,7.4.0,2.18622,0,786,0,0
Geo-III---2018C-7.5.0,7.5.0,2.18622,0,786,0,0
Geo-III---2018C-8.0.0,8.0.0,2.18622,0,786,0,0
Zipperpin---2.1-8.1.0,8.1.0,2.18352,0,773,0,0
Zipperpin---2.0-7.5.0,7.5.0,2.18187,0,774,0,0
Zipperpin---2.1-8.0.0,8.0.0,2.15754,0,772,0,0
iProver-SAT---3.6-8.1.0,8.1.0,2.15025,0,387,0,0
Geo-III---2015E-6.3.0,6.3.0,2.14373,26.71711,775,0,0
Geo-III---2015E-6.4.0,6.4.0,2.14373,0,775,0,0
CVC4---1.5.2-7.0.0,7.0.0,2.13758,0,762,0,0
Zipperpin---2.1.999-8.2.0,8.2.0,2.1281,0,770,0,0
CVC4---1.5.2-7.1.0,7.1.0,2.11492,0,760,0,0
CVC4---1.5.2-7.2.0,7.2.0,2.11492,0,760,0,0
Leo-III---1.4-7.4.0,7.4.0,2.04794,0,746,0,0
DCTP---1.31-6.3.0,6.3.0,2.03243,24.7846,612,0,0
DCTP---1.31-6.4.0,6.4.0,2.03243,0,612,0,0
DCTP---1.31-7.0.0,7.0.0,2.03243,0,612,0,0
DCTP---1.31-7.1.0,7.1.0,2.03243,0,612,0,0
DCTP---1.31-7.2.0,7.2.0,2.03243,0,612,0,0
DCTP---1.31-7.3.0,7.3.0,2.03243,0,612,0,0
DCTP---1.31-7.4.0,7.4.0,2.03243,0,612,0,0
DCTP---1.31-7.5.0,7.5.0,2.03243,0,612,0,0
DCTP---1.31-8.0.0,8.0.0,2.03243,0,612,0,0
DCTP---1.31-8.1.0,8.1.0,2.02938,0,611,0,0
DCTP---1.31-8.2.0,8.2.0,2.02938,0,611,0,0
SATCoP---0.1-8.2.0,8.2.0,2.02225,0,734,0,0
SATCoP---0.1-8.1.0,8.1.0,2.01919,0,733,0,0
Leo-III---1.5.6-7.5.0,7.5.0,2.00364,0,743,0,0
SATCoP---0.1-8.0.0,8.0.0,2.00177,0,731,0,0
GKC---0.7-8.2.0,8.2.0,1.99678,0,674,0,0
GKC---0.7-8.1.0,8.1.0,1.99372,0,673,0,0
iProverMo---0.7-0.3-6.4.0,6.4.0,1.9918,0,742,0,0
iProverMo---0.7-0.3-7.0.0,7.0.0,1.9918,0,742,0,0
iProverMo---0.7-0.3-6.3.0,6.3.0,1.98683,25.85899,741,0,0
GKC---0.7-8.0.0,8.0.0,1.98233,0,670,0,0
iProver-SAT---3.7-8.2.0,8.2.0,1.97481,0,380,0,0
GKC---0.4-7.4.0,7.4.0,1.80143,0,666,0,0
Zipperpin---1.5-7.4.0,7.4.0,1.79219,0,691,0,0
Paradox---4.0-7.3.0,7.3.0,1.7669,0,355,0,0
Paradox---4.0-7.4.0,7.4.0,1.7669,0,355,0,0
Paradox---4.0-7.5.0,7.5.0,1.7669,0,355,0,0
Paradox---4.0-8.0.0,8.0.0,1.7669,0,355,0,0
Nitpick---2015-6.4.0,6.4.0,1.75857,1.5,328,0,0
Paradox---4.0-7.2.0,7.2.0,1.74467,0,354,0,0
GKC---0.5.1-7.5.0,7.5.0,1.7348,0,646,0,0
FDP---0.9.16-6.3.0,6.3.0,1.73243,21.40495,557,0,0
FDP---0.9.16-6.4.0,6.4.0,1.73243,0,557,0,0
FDP---0.9.16-7.0.0,7.0.0,1.73243,0,557,0,0
FDP---0.9.16-7.1.0,7.1.0,1.73243,0,557,0,0
FDP---0.9.16-7.2.0,7.2.0,1.73243,0,557,0,0
FDP---0.9.16-7.3.0,7.3.0,1.73243,0,557,0,0
FDP---0.9.16-7.4.0,7.4.0,1.73243,0,557,0,0
FDP---0.9.16-7.5.0,7.5.0,1.73243,0,557,0,0
