Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
LEO-II---1.7.0-7.4.0,7.4.0,0.03325,0,9,0,0
Fiesta---2-8.1.0,8.1.0,0,0,0,0,0
Goeland---1.0.0-8.1.0,8.1.0,0,0,0,0,0
iProverMo-TF0---2.5-0.1-7.0.0,7.0.0,0,0,0,0,0
Isabelle---2016-8.2.0,8.2.0,0,0,0,0,0
S-SETHEO---0.0-7.2.0,7.2.0,0,0,0,0,0
SuperZenon---0.0.1-7.2.0,7.2.0,0,0,0,0,0
SPASS-XDB---0.8-7.1.0,7.1.0,0,0,0,0,0
E---3.0-8.2.0,8.2.0,2.53508,0,404,0,0
Vampire---4.2-7.1.0,7.1.0,2.63793,0,404,0,0
Muscadet---4.5-7.0.0,7.0.0,0,0,0,0,0
Otter---3.3-7.3.0,7.3.0,0,0,0,0,0
CSE-F---1.0-8.1.0,8.1.0,0,0,0,0,0
E-SAT---3.0-8.2.0,8.2.0,2.53508,0,404,0,0
Equinox---6.0.1a-7.1.0,7.1.0,1.65625,0,311,0,0
Twee---2.2-7.3.0,7.3.0,1.0687,0,193,0,0
GrAnDe---1.1-7.5.0,7.5.0,0,0,0,0,0
CiME---2.01-7.1.0,7.1.0,0.05415,0,10,0,0
Otter---3.3-8.0.0,8.0.0,0,0,0,0,0
E---2.6.X-8.0.0,8.0.0,2.6891,0,407,0,0
Matita---1.0-8.0.0,8.0.0,0,0,0,0,0
cvc5-SAT---1.0-8.1.0,8.1.0,4.19069,0,542,0,0
Princess---150706-6.3.0,6.3.0,0,0,0,0,0
CVC4-TFN---1.5.2-7.0.0,7.0.0,0,0,0,0,0
CVC4---1.5j8-6.4.0,6.4.0,0.00356,0,1,0,0
cocATP---0.2.0-7.0.0,7.0.0,0,0,0,0,0
Isabelle---2016-7.2.0,7.2.0,0,0,0,0,0
Twee---2.2-7.4.0,7.4.0,1.0687,0,193,0,0
Isabelle-HOT---2016-8.0.0,8.0.0,0,0,0,0,0
DCTP---1.31-7.1.0,7.1.0,1.66121,0,330,0,0
Princess---170717-8.0.0,8.0.0,0,0,0,0,0
