Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
iProver-Eq---0.85-7.2.0,7.2.0,19.54956,0.00000,5921.00000,0.00000,0.00000
S-SETHEO---0.0-8.0.0,8.0.0,5.27335,0.00000,1768.00000,0.00000,0.00000
Crossbow---0.1-7.2.0,7.2.0,0.01980,0.00000,2.00000,0.00000,0.00000
Muscadet---4.5-7.5.0,7.5.0,6.01939,0.00000,1688.00000,0.00000,0.00000
SPASS-XDB---0.8-7.5.0,7.5.0,4.47684,0.00000,479.00000,0.00000,0.00000
leanCoP---2.2-7.1.0,7.1.0,8.65470,0.00000,2756.00000,0.00000,0.00000
Paradox---3.0-7.0.0,7.0.0,16.38581,0.00000,2790.00000,0.00000,0.00000
SaKo---3.9-0.5.3-8.1.0,8.1.0,0.00000,0.00000,0.00000,0.00000,0.00000
Satallax---3.5-8.1.0,8.1.0,27.32065,0.00000,2309.00000,0.00000,0.00000
CVC4-SAT---1.5.2-7.0.0,7.0.0,10.56778,0.00000,1377.00000,0.00000,0.00000
PEPR---0.0ps-7.0.0,7.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
Infinox---1.0-7.3.0,7.3.0,0.00000,0.00000,0.00000,0.00000,0.00000
nanoCoP---2.0-8.2.0,8.2.0,8.93537,0.00000,2821.00000,0.00000,0.00000
Fampire---1.3-7.0.0,7.0.0,14.10006,0.00000,3781.00000,0.00000,0.00000
Scavenger---EP-0.2-8.2.0,8.2.0,0.00652,0.00000,2.00000,0.00000,0.00000
SOS---2.0-8.0.0,8.0.0,8.59630,0.00000,3152.00000,0.00000,0.00000
SPASS---3.9-7.0.0,7.0.0,28.62205,0.00000,7772.00000,0.00000,0.00000
iProver-Eq---0.85-7.1.0,7.1.0,19.54956,0.00000,5921.00000,0.00000,0.00000
LEO-II---1.7.0-8.0.0,8.0.0,33.07131,0.00000,6598.00000,0.00000,0.00000
cvc5-SAT---1.0-8.1.0,8.1.0,50.97676,0.00000,8997.00000,0.00000,0.00000
SPASS---3.9-7.1.0,7.1.0,28.62205,0.00000,7772.00000,0.00000,0.00000
iProverMo---2.5-0.1-7.2.0,7.2.0,11.64794,0.00000,3348.00000,0.00000,0.00000
nanoCoP---1.1-7.5.0,7.5.0,8.42055,0.00000,2738.00000,0.00000,0.00000
Nitpick---2016-8.2.0,8.2.0,25.38152,0.00000,1661.00000,0.00000,0.00000
Infinox---1.0-8.0.0,8.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
cocATP---0.2.0-6.4.0,6.4.0,6.19361,0.00000,720.00000,0.00000,0.00000
iProver---3.5-8.0.0,8.0.0,63.69488,0.00000,10810.00000,0.00000,0.00000
Waldmeister---710-8.2.0,8.2.0,7.29577,0.00000,837.00000,0.00000,0.00000
Scavenger---EP-0.2-7.4.0,7.4.0,0.00652,0.00000,2.00000,0.00000,0.00000
SNARK---20120808r022-7.4.0,7.4.0,26.22686,0.00000,6855.00000,0.00000,0.00000
Matita---1.0-7.3.0,7.3.0,1.83525,0.00000,551.00000,0.00000,0.00000
Fiesta---2-7.4.0,7.4.0,2.25495,0.00000,633.00000,0.00000,0.00000
DCTP---1.31-8.2.0,8.2.0,17.05480,0.00000,3574.00000,0.00000,0.00000
ZenonModulo---0.4.1-7.0.0,7.0.0,13.82960,0.00000,3250.00000,0.00000,0.00000
Gandalf---c-2.6-7.0.0,7.0.0,14.15154,0.00000,3575.00000,0.00000,0.00000
FDP---0.9.16-7.3.0,7.3.0,7.49720,0.00000,2387.00000,0.00000,0.00000
iProver-Eq---0.85-7.3.0,7.3.0,19.46420,0.00000,5883.00000,0.00000,0.00000
SOS---2.0-7.1.0,7.1.0,8.62194,0.00000,3170.00000,0.00000,0.00000
MaedMax---0.9-7.3.0,7.3.0,2.12580,0.00000,613.00000,0.00000,0.00000
SPASS---3.9-7.5.0,7.5.0,28.64294,0.00000,7776.00000,0.00000,0.00000
Etableau---0.67-8.2.0,8.2.0,44.52899,0.00000,9420.00000,0.00000,0.00000
SuperZenon---0.0.1-7.4.0,7.4.0,4.87983,0.00000,1851.00000,0.00000,0.00000
agsyHOL---1.0-7.0.0,7.0.0,16.16414,0.00000,1729.00000,0.00000,0.00000
Drodi---3.5.1-8.2.0,8.2.0,37.17521,0.00000,8880.00000,0.00000,0.00000
S-SETHEO---0.0-7.1.0,7.1.0,5.27335,0.00000,1768.00000,0.00000,0.00000
iProverMo---0.7-0.3-6.4.0,6.4.0,13.52934,0.00000,4202.00000,0.00000,0.00000
SRASS---0.1-7.2.0,7.2.0,13.83906,0.00000,3695.00000,0.00000,0.00000
Infinox---1.0-7.0.0,7.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
Fiesta---2-8.2.0,8.2.0,2.32684,0.00000,644.00000,0.00000,0.00000
E-SAT---2.1-7.2.0,7.2.0,56.94573,0.00000,10767.00000,0.00000,0.00000
Faust---1.0-7.0.0,7.0.0,4.70578,0.00000,1884.00000,0.00000,0.00000
Moca---0.1-8.1.0,8.1.0,1.73207,0.00000,653.00000,0.00000,0.00000
Otter---3.3-8.2.0,8.2.0,12.01765,0.00000,4278.00000,0.00000,0.00000
E-KRHyper---1.4-7.4.0,7.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
ET---2.0-7.0.0,7.0.0,0.00000,0.00000,0.00000,0.00000,0.00000
LEO-II---1.7.0-7.4.0,7.4.0,33.75306,0.00000,6663.00000,0.00000,0.00000
S-SETHEO---0.0-8.2.0,8.2.0,5.27029,0.00000,1767.00000,0.00000,0.00000
Faust---1.0-7.5.0,7.5.0,4.56676,0.00000,1827.00000,0.00000,0.00000
SATCoP---0.1-8.2.0,8.2.0,28.66528,0.00000,6424.00000,0.00000,0.00000
EQP---0.9e-8.0.0,8.0.0,1.91732,0.00000,571.00000,0.00000,0.00000
Zenon---0.7.1-7.4.0,7.4.0,4.74544,0.00000,1801.00000,0.00000,0.00000
Refute---2015-8.0.0,8.0.0,7.16338,0.00000,463.00000,0.00000,0.00000
CSE-F---1.0-8.0.0,8.0.0,0.24138,0.00000,87.00000,0.00000,0.00000
leanCoP---2.2-8.0.0,8.0.0,8.66196,0.00000,2758.00000,0.00000,0.00000
HOLyHammer---140616-6.4.0,6.4.0,0.00000,0.00000,0.00000,0.00000,0.00000
SOS---2.0-7.3.0,7.3.0,8.62194,0.00000,3170.00000,0.00000,0.00000
DarwinFM---1.4.5-8.1.0,8.1.0,12.49162,0.00000,2720.00000,0.00000,0.00000
ZenonModulo---0.4.1-6.4.0,6.4.0,13.82960,0.00000,3250.00000,0.00000,0.00000
cocATP---0.2.0-8.0.0,8.0.0,6.05436,0.00000,707.00000,0.00000,0.00000
agsyHOL---1.0-7.1.0,7.1.0,16.15513,0.00000,1728.00000,0.00000,0.00000
FDP---0.9.16-8.0.0,8.0.0,7.49720,0.00000,2387.00000,0.00000,0.00000
SPASS-XDB---0.8-6.4.0,6.4.0,4.47684,0.00000,479.00000,0.00000,0.00000
Matita---1.0-8.0.0,8.0.0,1.83525,0.00000,551.00000,0.00000,0.00000
EQP---0.9e-7.0.0,7.0.0,1.91732,0.00000,571.00000,0.00000,0.00000
RPx---1.0-8.2.0,8.2.0,6.60007,0.00000,2250.00000,0.00000,0.00000
HOLyHammer---0.21-8.0.0,8.0.0,11.27266,0.00000,1297.00000,0.00000,0.00000
Zenon---0.7.1-7.0.0,7.0.0,4.63913,0.00000,1787.00000,0.00000,0.00000
Lash---1.12-8.2.0,8.2.0,24.33658,0.00000,2084.00000,0.00000,0.00000
ET---2.0-8.1.0,8.1.0,30.42406,0.00000,5040.00000,0.00000,0.00000
Isabelle---2016-7.4.0,7.4.0,55.80293,0.00000,10655.00000,0.00000,0.00000
Otter---3.3-8.0.0,8.0.0,3.67150,0.00000,1345.00000,0.00000,0.00000
SNARK---20120808r022-8.0.0,8.0.0,26.22686,0.00000,6855.00000,0.00000,0.00000
nanoCoP---1.1-7.3.0,7.3.0,8.42055,0.00000,2738.00000,0.00000,0.00000
SETHEO---3.3-8.2.0,8.2.0,3.03218,0.00000,1099.00000,0.00000,0.00000
TPS---3.120601S1b-8.0.0,8.0.0,14.27874,0.00000,1470.00000,0.00000,0.00000
Satallax---3.2-7.1.0,7.1.0,27.33735,0.00000,2317.00000,0.00000,0.00000
nanoCoP---1.1-7.4.0,7.4.0,8.42055,0.00000,2738.00000,0.00000,0.00000
