Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
SNARK---20120808r022-8.0.0,8.0.0,8.21804,0,2205,0,0
SNARK---20120808r022-6.3.0,6.3.0,8.19721,108.09208,2201,0,1
iProver---2.0-6.3.0,6.3.0,8.1964,108.28904,2209,0,2
SNARK---20120808r022-6.4.0,6.4.0,8.19623,0,2201,0,0
SNARK---20120808r022-7.0.0,7.0.0,8.19623,0,2201,0,0
SNARK---20120808r022-7.1.0,7.1.0,8.19623,0,2201,0,0
SNARK---20120808r022-7.2.0,7.2.0,8.19623,0,2201,0,0
iProver---2.5-6.4.0,6.4.0,8.14268,0,2220,0,0
Beagle---0.9.32-6.4.0,6.4.0,8.12883,0,2276,0,0
Beagle---0.9.32-6.3.0,6.3.0,8.11883,108.05847,2276,0,0
Beagle---0.9.47-8.1.0,8.1.0,8.11073,0,2276,0,0
Beagle---0.9.47-8.2.0,8.2.0,8.11073,0,2276,0,0
Beagle---0.9.47-7.3.0,7.3.0,8.01666,0.15254,2258,0,0
Beagle---0.9.47-7.4.0,7.4.0,8.01666,0,2258,0,0
Beagle---0.9.47-7.5.0,7.5.0,8.01666,0,2258,0,0
Beagle---0.9.47-8.0.0,8.0.0,8.01666,0,2258,0,0
Beagle---0.9.47-7.0.0,7.0.0,7.99475,0,2254,0,0
Beagle---0.9.47-7.1.0,7.1.0,7.99475,0,2254,0,0
Beagle---0.9.47-7.2.0,7.2.0,7.99475,0,2254,0,0
Zipperpin---1.4-7.3.0,7.3.0,7.92926,0.15254,2147,0,0
Zipperpin---1.4-7.1.0,7.1.0,7.90744,0,2143,0,0
Zipperpin---1.4-7.2.0,7.2.0,7.90744,0,2143,0,0
iProver-SAT---2.6-7.1.0,7.1.0,7.64451,0,2127,0,0
iProver-SAT---2.6-7.2.0,7.2.0,7.64451,0,2127,0,0
cvc5-SAT---1.0-8.2.0,8.2.0,7.6231,0,1927,0,0
cvc5-SAT---1.0-8.0.0,8.0.0,7.05763,0,1876,0,0
cvc5-SAT---1.0-8.1.0,8.1.0,7.0031,0,1872,0,0
CVC4-SAT---1.7-7.4.0,7.4.0,6.89909,0,1831,0,0
E-Darwin---1.5-7.3.0,7.3.0,6.82715,0.15254,1983,0,0
E-Darwin---1.5-7.4.0,7.4.0,6.82715,0,1983,0,0
E-Darwin---1.5-7.5.0,7.5.0,6.82715,0,1983,0,0
Twee---2.3.1-7.5.0,7.5.0,6.82448,0,1431,0,0
CVC4-SAT---1.9-7.5.0,7.5.0,6.81912,0,1837,0,0
E-Darwin---1.5-8.0.0,8.0.0,6.81622,0,1979,0,0
E-Darwin---1.5-8.1.0,8.1.0,6.81622,0,1979,0,0
E-Darwin---1.5-8.2.0,8.2.0,6.81622,0,1979,0,0
E-Darwin---1.5-6.3.0,6.3.0,6.80533,90.06595,1979,0,0
