AAANNN.p,SZS,v8.2.0,v8.1.0,v8.0.0,v7.5.0,v7.4.0,v7.3.0,v7.2.0,v7.1.0,v7.0.0,v6.4.0,v6.3.0
ALG059+1,THM,0.15,0.17,0.13,0.13,0.14,0.18,0.23,0.17,0.18,0.13,0.14
ALG060+1,THM,0.20,0.21,0.17,0.17,0.19,0.24,0.31,0.25,0.27,0.20,0.21
ALG061+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG062+1,THM,0.15,0.17,0.13,0.13,0.14,0.18,0.23,0.17,0.18,0.13,0.14
ALG063+1,THM,0.10,0.12,0.09,0.09,0.10,0.12,0.15,0.08,0.09,0.07,0.07
ALG064+1,THM,0.15,0.17,0.13,0.13,0.14,0.18,0.23,0.17,0.18,0.13,0.14
ALG065+1,THM,0.10,0.08,0.09,0.09,0.10,0.12,0.15,0.08,0.09,0.07,0.07
ALG066+1,THM,0.10,0.12,0.13,0.13,0.14,0.18,0.23,0.17,0.18,0.13,0.14
ALG067+1,THM,0.10,0.12,0.09,0.09,0.10,0.12,0.15,0.08,0.09,0.07,0.07
ALG068+1,THM,0.10,0.12,0.09,0.09,0.10,0.12,0.15,0.08,0.09,0.07,0.07
ALG069+1,THM,0.17,0.17,0.17,0.17,0.22,0.07,0.14,0.14,0.09,0.07,0.12
ALG069-10,UNS,0.14,0.12,0.05,0.05,0.17,0.13,,,,,
ALG070+1,THM,0.22,0.17,0.19,0.19,0.22,0.13,0.14,0.14,0.13,0.10,0.15
ALG071+1,THM,0.36,0.36,0.33,0.33,0.41,0.23,0.31,0.34,0.26,0.30,0.35
ALG072+1,THM,0.58,0.50,0.50,0.50,0.59,0.40,0.45,0.48,0.48,0.50,0.46
ALG073+1,THM,0.22,0.19,0.22,0.22,0.25,0.10,0.21,0.21,0.17,0.20,0.27
ALG074+1,THM,0.39,0.39,0.39,0.39,0.44,0.27,0.34,0.34,0.35,0.30,0.35
ALG075+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG076+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG077+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG078+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG079+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG080+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG081+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG082+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG083+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG084+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG085+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG086+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG087+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG088+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG089+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG090+1,THM,0.10,0.08,0.09,0.09,0.10,0.12,0.15,0.17,0.09,0.07,0.07
ALG091+1,THM,0.15,0.12,0.13,0.13,0.14,0.18,0.23,0.17,0.09,0.07,0.07
ALG092+1,THM,0.15,0.12,0.13,0.13,0.14,0.18,0.23,0.17,0.09,0.07,0.07
ALG093+1,THM,0.15,0.12,0.13,0.13,0.14,0.18,0.23,0.17,0.09,0.07,0.07
ALG094+1,THM,0.10,0.08,0.09,0.09,0.10,0.12,0.15,0.17,0.09,0.07,0.07
ALG095+1,THM,0.15,0.12,0.13,0.13,0.14,0.18,0.23,0.17,0.09,0.07,0.07
ALG096+1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG097+1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG098+1,UNS,0.00,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.00,0.00,0.00
ALG099+1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG100+1,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALG101+1,UNS,0.00,0.00,0.33,0.33,0.33,0.33,0.33,0.33,0.00,0.00,0.00
ALG102+1,THM,0.25,0.21,0.26,0.26,0.24,0.29,0.38,0.33,0.27,0.27,0.29
ALG103+1,THM,0.30,0.25,0.35,0.35,0.38,0.35,0.54,0.50,0.45,0.40,0.43
ALG104+1,THM,0.55,0.50,0.52,0.52,0.48,0.47,0.62,0.58,0.64,0.53,0.57
ALG105+1,THM,0.15,0.12,0.09,0.09,0.10,0.12,0.15,0.08,0.09,0.07,0.07
ALG106+1,THM,0.25,0.21,0.26,0.26,0.24,0.24,0.38,0.33,0.36,0.33,0.36
ALG107+1,THM,0.20,0.17,0.17,0.17,0.14,0.18,0.23,0.17,0.18,0.13,0.14
ALG108+1,THM,0.35,0.29,0.30,0.30,0.33,0.35,0.54,0.50,0.55,0.47,0.50
ALG109+1,THM,0.40,0.33,0.35,0.35,0.38,0.41,0.62,0.58,0.64,0.53,0.57
ALG110+1,THM,0.15,0.12,0.09,0.09,0.10,0.12,0.15,0.08,0.09,0.07,0.07
ALG111+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG112+1,THM,0.20,0.17,0.22,0.22,0.19,0.24,0.31,0.25,0.27,0.27,0.29
ALG113+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG114+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG115+1,THM,0.25,0.21,0.22,0.22,0.24,0.29,0.38,0.33,0.27,0.20,0.21
ALG116+1,THM,0.20,0.17,0.17,0.17,0.19,0.24,0.31,0.25,0.27,0.27,0.29
ALG117+1,THM,0.15,0.12,0.09,0.09,0.10,0.12,0.15,0.08,0.09,0.07,0.07
ALG118+1,THM,0.15,0.12,0.13,0.13,0.14,0.18,0.23,0.17,0.09,0.07,0.07
ALG119+1,THM,0.30,0.25,0.26,0.26,0.24,0.29,0.38,0.33,0.27,0.27,0.29
ALG120+1,THM,0.35,0.29,0.26,0.26,0.29,0.29,0.46,0.42,0.45,0.33,0.36
ALG121+1,THM,0.10,0.08,0.04,0.04,0.05,0.06,0.08,0.00,0.00,0.00,0.00
ALG122+1,THM,0.25,0.21,0.22,0.22,0.24,0.24,0.31,0.25,0.36,0.33,0.36
ALG123+1,THM,0.15,0.12,0.09,0.09,0.10,0.12,0.15,0.08,0.09,0.07,0.07
