AAANNN.p,SZS,v8.2.0,v8.1.0,v8.0.0,v7.5.0,v7.4.0,v7.3.0,v7.2.0,v7.1.0,v7.0.0,v6.4.0,v6.3.0
LCL430-2,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL431-1,UNS,0.50,0.48,0.47,0.47,0.47,0.53,0.67,0.67,0.58,0.67,0.67
LCL431-2,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL432-1,UNS,0.05,0.05,0.05,0.05,0.05,0.06,0.00,0.00,0.00,0.13,0.07
LCL432-2,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL433-1,UNS,0.45,0.52,0.58,0.58,0.68,0.59,0.58,0.58,0.50,0.60,0.67
LCL433-2,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL434-1,UNS,0.20,0.24,0.21,0.21,0.26,0.29,0.25,0.25,0.17,0.33,0.33
LCL434-2,UNS,0.10,0.10,0.00,0.00,0.05,0.06,0.08,0.08,0.00,0.07,0.00
LCL435-1,UNS,0.05,0.05,0.05,0.05,0.05,0.06,0.00,0.00,0.00,0.13,0.07
LCL435-2,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL436-1,UNS,0.05,0.05,0.05,0.05,0.05,0.12,0.00,0.00,0.00,0.20,0.20
LCL436-2,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL437-1,UNS,0.05,0.05,0.05,0.05,0.05,0.06,0.00,0.00,0.00,0.13,0.07
LCL437-2,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL438-1,UNS,0.35,0.29,0.26,0.26,0.42,0.41,0.50,0.50,0.50,0.60,0.53
LCL438-2,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL439-1,UNS,0.60,0.67,0.53,0.53,0.47,0.47,0.67,0.67,0.58,0.73,0.67
LCL439-2,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL440-1,UNS,0.05,0.05,0.05,0.05,0.05,0.06,0.00,0.00,0.00,0.13,0.07
LCL440-2,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL441-1,UNS,0.05,0.05,0.11,0.11,0.11,0.12,0.00,0.00,0.00,0.20,0.13
LCL441-2,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL442-1,UNS,0.35,0.29,0.26,0.26,0.32,0.29,0.33,0.33,0.25,0.47,0.40
LCL442-2,UNS,0.08,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.25,0.25
LCL443-1,UNS,0.65,0.86,0.74,0.74,0.79,0.71,0.75,0.75,0.67,0.80,0.73
LCL443-10,UNS,0.14,0.17,0.15,0.15,0.21,0.17,,,,,
LCL443-2,UNS,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00
LCL444-1,UNS,0.95,0.95,0.95,0.95,0.95,0.94,0.92,0.92,0.92,1.00,1.00
LCL444-2,UNS,0.36,0.29,0.25,0.25,0.25,0.33,0.25,0.25,0.25,0.25,0.25
LCL445-1,UNS,0.35,0.38,0.47,0.47,0.47,0.53,0.58,0.58,0.50,0.67,0.73
LCL445-2,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL446-1,UNS,0.55,0.57,0.47,0.47,0.53,0.71,0.58,0.67,0.50,0.60,0.67
LCL446-2,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL447-1,UNS,0.30,0.24,0.26,0.26,0.26,0.29,0.33,0.33,0.33,0.40,0.33
LCL447-2,UNS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL448+1,THM,0.86,0.86,0.78,0.78,0.81,0.80,0.83,0.86,0.87,0.93,0.92
LCL449+1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL449^7,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL450+1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL450+2,THM,0.97,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL450^7,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL451+1,THM,0.08,0.08,0.06,0.06,0.06,0.10,0.10,0.10,0.13,0.10,0.12
LCL452+1,THM,0.17,0.17,0.19,0.19,0.22,0.17,0.14,0.14,0.17,0.20,0.23
LCL452^7,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL453+1,THM,0.36,0.33,0.36,0.36,0.34,0.30,0.38,0.38,0.35,0.33,0.38
LCL454+1,THM,0.19,0.25,0.22,0.22,0.22,0.20,0.21,0.21,0.17,0.20,0.27
LCL454^7,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL455+1,THM,0.08,0.08,0.06,0.06,0.06,0.10,0.07,0.07,0.09,0.07,0.08
LCL456+1,THM,0.22,0.25,0.25,0.25,0.25,0.20,0.24,0.24,0.22,0.23,0.31
LCL456^7,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL457+1,THM,0.64,0.64,0.61,0.61,0.66,0.57,0.59,0.62,0.65,0.67,0.65
LCL458+1,THM,0.58,0.56,0.64,0.64,0.62,0.50,0.59,0.62,0.61,0.60,0.62
LCL459+1,THM,0.14,0.14,0.11,0.11,0.12,0.13,0.14,0.14,0.17,0.13,0.19
LCL460+1,THM,0.08,0.08,0.06,0.06,0.06,0.10,0.10,0.10,0.13,0.10,0.12
LCL460^7,THM,0.30,0.46,0.45,0.45,0.57,0.56,0.67,0.62,0.62,0.57,0.50
LCL461+1,THM,0.75,0.78,0.72,0.72,0.75,0.73,0.76,0.79,0.83,0.83,0.85
LCL462+1,THM,0.75,0.72,0.75,0.75,0.75,0.80,0.79,0.79,0.78,0.77,0.77
LCL462^7,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL463+1,THM,0.67,0.72,0.64,0.64,0.66,0.73,0.72,0.76,0.74,0.70,0.77
LCL464+1,THM,0.72,0.75,0.72,0.72,0.72,0.77,0.76,0.79,0.78,0.77,0.81
LCL464^7,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL465+1,THM,0.08,0.08,0.06,0.06,0.06,0.10,0.10,0.10,0.13,0.10,0.12
LCL466+1,THM,0.83,0.83,0.83,0.83,0.91,0.87,0.93,0.93,0.91,0.90,0.92
LCL466^7,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL467+1,THM,0.86,0.86,0.83,0.83,0.91,0.87,0.93,0.93,0.91,0.90,0.92
LCL467^7,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL468+1,THM,0.94,0.94,0.89,0.89,0.94,0.93,0.93,0.93,0.91,0.97,0.96
LCL469+1,THM,0.14,0.14,0.17,0.17,0.19,0.17,0.17,0.17,0.17,0.20,0.27
LCL470+1,THM,0.69,0.75,0.67,0.67,0.66,0.73,0.72,0.76,0.74,0.70,0.77
LCL471+1,THM,0.97,0.97,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL472+1,THM,0.86,0.83,0.81,0.81,0.78,0.77,0.79,0.83,0.83,0.80,0.85
LCL473+1,THM,0.86,0.86,0.81,0.81,0.78,0.77,0.79,0.83,0.83,0.83,0.85
LCL474+1,THM,0.94,0.94,0.94,0.94,0.94,0.93,0.93,0.93,0.91,0.97,0.96
LCL475+1,THM,0.83,0.89,0.81,0.81,0.78,0.80,0.79,0.83,0.87,0.90,0.88
LCL476+1,THM,0.86,0.92,0.83,0.83,0.84,0.87,0.83,0.83,0.83,0.90,0.88
LCL477+1,THM,0.97,0.97,0.97,0.97,0.97,0.97,1.00,1.00,1.00,1.00,1.00
LCL478+1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL479+1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL480+1,THM,0.83,0.83,0.83,0.83,0.91,0.87,0.93,0.93,0.91,0.90,0.92
LCL481+1,THM,0.86,0.86,0.83,0.83,0.91,0.87,0.93,0.93,0.91,0.90,0.92
LCL482+1,THM,0.94,0.94,0.94,0.94,0.94,0.93,0.93,0.93,0.91,0.97,0.96
LCL483+1,THM,0.19,0.22,0.22,0.22,0.25,0.20,0.24,0.24,0.22,0.23,0.35
LCL484+1,THM,0.08,0.11,0.14,0.14,0.12,0.10,0.14,0.14,0.17,0.17,0.23
LCL485+1,THM,0.50,0.58,0.53,0.53,0.56,0.63,0.66,0.69,0.70,0.63,0.69
LCL486+1,THM,0.44,0.47,0.53,0.53,0.59,0.47,0.52,0.55,0.57,0.60,0.69
LCL487+1,THM,0.47,0.50,0.44,0.44,0.53,0.53,0.45,0.48,0.48,0.47,0.50
LCL488+1,THM,0.33,0.33,0.33,0.33,0.31,0.23,0.38,0.38,0.30,0.30,0.38
LCL489+1,THM,0.47,0.50,0.53,0.53,0.56,0.57,0.59,0.62,0.65,0.67,0.69
LCL490+1,THM,0.25,0.28,0.28,0.28,0.31,0.37,0.28,0.28,0.30,0.33,0.42
LCL491+1,THM,0.06,0.06,0.03,0.03,0.03,0.07,0.10,0.10,0.13,0.07,0.08
LCL492+1,THM,0.89,0.86,0.83,0.83,0.84,0.87,0.86,0.90,0.87,0.93,0.88
LCL493+1,THM,0.50,0.50,0.47,0.47,0.56,0.53,0.48,0.52,0.52,0.43,0.46
LCL494+1,THM,0.33,0.33,0.33,0.33,0.34,0.23,0.38,0.38,0.30,0.30,0.38
LCL495+1,THM,0.61,0.61,0.56,0.56,0.62,0.60,0.66,0.69,0.70,0.73,0.73
LCL496+1,THM,0.44,0.42,0.50,0.50,0.56,0.43,0.48,0.52,0.52,0.57,0.65
LCL497+1,THM,0.47,0.44,0.50,0.50,0.50,0.50,0.52,0.55,0.61,0.50,0.54
LCL498+1,THM,0.47,0.50,0.47,0.47,0.56,0.60,0.62,0.62,0.65,0.47,0.54
LCL499+1,THM,0.28,0.31,0.31,0.31,0.31,0.23,0.31,0.31,0.26,0.27,0.35
LCL500+1,THM,0.44,0.47,0.42,0.42,0.50,0.50,0.45,0.48,0.48,0.47,0.50
LCL501+1,THM,0.75,0.69,0.72,0.72,0.75,0.70,0.72,0.76,0.74,0.80,0.81
LCL502+1,THM,0.78,0.75,0.75,0.75,0.78,0.77,0.79,0.83,0.87,0.83,0.85
LCL503+1,THM,0.58,0.61,0.56,0.56,0.69,0.70,0.72,0.76,0.83,0.70,0.77
LCL504+1,THM,0.67,0.67,0.72,0.72,0.78,0.77,0.83,0.83,0.87,0.87,0.88
LCL505+1,THM,0.81,0.81,0.78,0.78,0.88,0.83,0.86,0.86,0.83,0.90,0.88
LCL506+1,THM,0.06,0.06,0.03,0.03,0.03,0.07,0.07,0.07,0.09,0.07,0.08
LCL507+1,THM,0.64,0.64,0.64,0.64,0.72,0.70,0.72,0.72,0.78,0.63,0.73
LCL508+1,THM,0.86,0.86,0.81,0.81,0.88,0.83,0.86,0.86,0.87,0.93,0.88
LCL509+1,THM,0.53,0.56,0.56,0.56,0.62,0.67,0.72,0.76,0.78,0.67,0.77
LCL510+1,THM,0.58,0.58,0.58,0.58,0.72,0.70,0.72,0.76,0.83,0.70,0.77
LCL511+1,THM,1.00,1.00,0.94,0.94,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL512+1,THM,0.14,0.14,0.14,0.14,0.16,0.10,0.14,0.14,0.22,0.17,0.19
LCL513+1,THM,0.58,0.61,0.67,0.67,0.69,0.70,0.72,0.76,0.78,0.70,0.81
LCL514+1,THM,0.86,0.81,0.81,0.81,0.84,0.80,0.83,0.83,0.83,0.90,0.88
LCL515+1,THM,0.81,0.81,0.81,0.81,0.88,0.83,0.86,0.86,0.83,0.90,0.88
LCL516+1,THM,0.56,0.58,0.53,0.53,0.59,0.63,0.69,0.72,0.78,0.60,0.73
LCL517+1,THM,0.56,0.58,0.53,0.53,0.53,0.53,0.59,0.59,0.61,0.57,0.69
LCL518+1,THM,0.47,0.50,0.47,0.47,0.47,0.50,0.48,0.48,0.48,0.47,0.54
LCL519+1,THM,0.56,0.58,0.56,0.56,0.66,0.60,0.55,0.59,0.57,0.63,0.62
LCL520+1,THM,0.53,0.53,0.47,0.47,0.47,0.50,0.55,0.55,0.52,0.60,0.65
LCL521+1,THM,0.97,0.97,0.94,0.94,0.94,0.93,0.90,0.93,0.91,0.97,0.96
LCL522+1,THM,0.86,0.89,0.81,0.81,0.84,0.87,0.86,0.90,0.87,0.93,0.92
LCL523+1,THM,0.56,0.58,0.56,0.56,0.59,0.57,0.69,0.72,0.70,0.67,0.69
LCL524+1,THM,0.50,0.56,0.53,0.53,0.50,0.57,0.66,0.66,0.65,0.60,0.58
LCL525+1,THM,0.22,0.19,0.19,0.19,0.25,0.20,0.17,0.14,0.22,0.23,0.31
LCL526+1,THM,0.36,0.36,0.36,0.36,0.41,0.37,0.41,0.38,0.30,0.37,0.42
LCL527+1,THM,0.14,0.14,0.11,0.11,0.12,0.20,0.17,0.14,0.17,0.20,0.23
LCL528+1,THM,0.64,0.64,0.69,0.69,0.72,0.70,0.72,0.76,0.74,0.73,0.77
LCL529+1,THM,0.14,0.14,0.19,0.19,0.25,0.23,0.21,0.21,0.22,0.23,0.31
LCL530+1,THM,1.00,1.00,1.00,1.00,1.00,1.00,0.93,0.97,0.96,1.00,1.00
LCL531+1,THM,0.17,0.17,0.22,0.22,0.28,0.23,0.24,0.24,0.26,0.27,0.35
LCL532+1,THM,1.00,1.00,1.00,1.00,0.97,1.00,1.00,1.00,1.00,1.00,1.00
LCL533+1,THM,0.53,0.53,0.58,0.58,0.59,0.57,0.66,0.66,0.61,0.57,0.62
LCL534+1,THM,0.89,0.92,0.94,0.94,0.94,0.93,0.93,0.97,0.96,0.97,0.96
LCL535+1,THM,0.53,0.53,0.56,0.56,0.56,0.57,0.66,0.69,0.70,0.67,0.69
LCL536+1,THM,0.17,0.17,0.17,0.17,0.22,0.10,0.17,0.17,0.26,0.23,0.31
LCL537+1,THM,0.56,0.56,0.58,0.58,0.59,0.53,0.62,0.66,0.65,0.63,0.69
LCL538+1,THM,0.19,0.17,0.19,0.19,0.25,0.23,0.21,0.17,0.22,0.23,0.31
LCL539+1,THM,0.36,0.36,0.36,0.36,0.44,0.37,0.41,0.38,0.30,0.33,0.42
LCL540+1,THM,0.17,0.17,0.14,0.14,0.16,0.23,0.17,0.14,0.17,0.20,0.23
LCL541+1,THM,0.64,0.67,0.69,0.69,0.72,0.70,0.72,0.76,0.74,0.73,0.73
LCL542+1,THM,0.14,0.14,0.17,0.17,0.22,0.20,0.17,0.17,0.22,0.20,0.27
LCL543+1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL544+1,THM,0.17,0.19,0.22,0.22,0.25,0.23,0.21,0.21,0.22,0.23,0.31
LCL545+1,THM,1.00,0.97,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL546+1,THM,0.44,0.47,0.47,0.47,0.47,0.53,0.52,0.52,0.52,0.40,0.50
LCL547+1,THM,0.83,0.89,0.89,0.89,0.88,0.87,0.86,0.90,0.91,0.97,0.96
LCL548+1,THM,0.58,0.58,0.61,0.61,0.62,0.60,0.69,0.72,0.70,0.67,0.69
LCL549+1,THM,0.58,0.61,0.61,0.61,0.62,0.60,0.66,0.69,0.65,0.63,0.65
LCL550+1,THM,0.61,0.67,0.69,0.69,0.78,0.70,0.72,0.72,0.65,0.73,0.81
LCL551+1,THM,0.72,0.78,0.78,0.78,0.84,0.83,0.83,0.83,0.87,0.87,0.85
LCL552+1,THM,0.75,0.81,0.78,0.78,0.84,0.83,0.83,0.83,0.87,0.90,0.88
LCL553+1,THM,0.72,0.78,0.81,0.81,0.84,0.83,0.83,0.83,0.87,0.93,0.88
LCL554+1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL555+1,THM,0.75,0.75,0.75,0.75,0.84,0.83,0.83,0.83,0.87,0.87,0.88
LCL556+1,THM,0.75,0.78,0.75,0.75,0.84,0.83,0.83,0.83,0.87,0.87,0.88
LCL557+1,THM,0.86,0.92,0.92,0.92,0.94,0.90,0.90,0.90,0.87,0.90,0.88
LCL558+1,THM,0.78,0.83,0.81,0.81,0.88,0.87,0.86,0.86,0.87,0.90,0.88
LCL559+1,THM,0.78,0.83,0.81,0.81,0.88,0.87,0.86,0.86,0.87,0.90,0.88
LCL560+1,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL561+1,THM,0.75,0.78,0.75,0.75,0.81,0.83,0.83,0.83,0.87,0.87,0.88
LCL562+1,THM,0.75,0.78,0.75,0.75,0.81,0.83,0.83,0.83,0.87,0.87,0.88
LCL563+1,THM,0.86,0.92,0.92,0.92,0.91,0.90,0.90,0.90,0.87,0.93,0.88
LCL564+1,THM,0.97,0.92,0.86,0.86,0.97,0.93,0.93,0.93,0.96,1.00,1.00
LCL565+1,CSA,0.00,0.00,0.25,0.25,0.60,0.00,0.33,0.33,0.33,0.33,0.33
LCL566+1,THM,0.72,0.72,0.75,0.75,0.84,0.83,0.79,0.79,0.83,0.90,0.88
LCL567+1,CSA,0.00,0.00,0.25,0.25,0.60,0.00,0.33,0.33,0.33,0.33,0.33
LCL568+1,THM,0.75,0.75,0.75,0.75,0.81,0.83,0.79,0.79,0.83,0.90,0.88
LCL569+1,CSA,0.00,0.00,0.25,0.25,0.60,0.00,0.33,0.33,0.33,0.00,0.33
LCL570+1,THM,0.94,0.94,0.94,0.94,0.97,0.97,0.97,0.97,0.96,1.00,0.96
LCL571+1,CSA,0.00,0.00,0.25,0.25,0.60,0.00,0.33,0.33,0.33,0.33,0.33
LCL572+1,THM,1.00,1.00,1.00,1.00,1.00,0.97,0.97,0.97,0.96,1.00,0.96
LCL573+1,THM,0.75,0.78,0.75,0.75,0.81,0.80,0.79,0.79,0.83,0.83,0.85
LCL574+1,THM,1.00,1.00,1.00,1.00,1.00,0.97,0.97,0.97,0.96,1.00,0.96
LCL575+1,THM,1.00,1.00,1.00,1.00,1.00,0.97,0.97,0.97,0.96,1.00,0.96
LCL576+1,CSA,0.00,0.00,0.25,0.25,0.60,0.00,0.33,0.33,0.33,0.00,0.33
LCL577+1,CSA,0.00,0.00,0.25,0.25,0.60,0.00,0.33,0.33,0.33,0.00,0.33
LCL578+1,CSA,0.00,0.00,0.25,0.25,0.60,0.00,0.33,0.33,0.33,0.33,0.33
LCL579^1,THM,0.00,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00
LCL579^2,THM,0.00,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00
LCL580^1,THM,0.00,0.15,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL581^1,THM,0.00,0.15,0.09,0.09,0.00,0.00,0.00,0.00,0.12,0.00,0.00
LCL582^1,CSA,0.00,0.25,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL583^1,THM,0.00,0.15,0.09,0.09,0.00,0.00,0.00,0.00,0.12,0.00,0.00
LCL584^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
LCL585^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
LCL586^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
LCL587^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
LCL588^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
LCL589^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
LCL590^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
LCL591^1,THM,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL592^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
LCL593^1,CSA,0.00,0.25,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL594^1,THM,0.20,0.46,0.45,0.45,0.14,0.22,0.22,0.12,0.25,0.14,0.17
LCL595^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
LCL596^1,CSA,0.00,0.25,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL597^1,THM,0.20,0.31,0.27,0.27,0.14,0.22,0.22,0.12,0.25,0.14,0.17
LCL598^1,CSA,0.75,1.00,0.60,0.60,0.40,0.50,0.50,0.33,0.33,0.33,0.67
LCL599^1,CSA,0.75,1.00,0.60,0.60,0.40,0.50,0.50,0.33,0.33,0.33,0.67
LCL600^1,THM,0.10,0.23,0.18,0.18,0.14,0.22,0.22,0.12,0.25,0.14,0.17
LCL601^1,THM,0.10,0.23,0.18,0.18,0.14,0.22,0.22,0.12,0.25,0.14,0.17
LCL602^1,THM,0.20,0.23,0.27,0.27,0.14,0.22,0.22,0.12,0.25,0.14,0.17
LCL603^1,THM,0.10,0.23,0.18,0.18,0.14,0.22,0.22,0.12,0.25,0.14,0.17
LCL604^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
LCL606^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
LCL607^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
LCL608^1,THM,0.00,0.08,0.00,0.00,0.00,0.11,0.11,0.00,0.25,0.14,0.17
LCL609^1,THM,0.00,0.15,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL611^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
LCL612^1,THM,0.00,0.08,0.00,0.00,0.00,0.11,0.11,0.00,0.25,0.14,0.17
LCL613^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
LCL614^1,THM,0.00,0.08,0.09,0.09,0.00,0.00,0.00,0.00,0.12,0.00,0.00
LCL615^1,CSA,0.00,0.25,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL617^1,CSA,0.75,1.00,0.60,0.60,0.40,0.50,0.50,0.33,0.33,0.33,0.67
LCL618^1,THM,1.00,1.00,1.00,1.00,1.00,1.00,0.33,0.25,0.25,0.14,0.17
LCL619^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
LCL620^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.12,0.14,0.17
LCL621^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
LCL623^1,THM,0.00,0.08,0.09,0.09,0.00,0.11,0.22,0.25,0.00,0.00,0.00
LCL624^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.11,0.00,0.25,0.14,0.17
LCL625^1,THM,1.00,1.00,1.00,1.00,1.00,1.00,0.33,0.25,0.25,0.14,0.17
LCL626^1,THM,0.10,0.23,0.18,0.18,0.14,0.11,0.33,0.25,0.25,0.14,0.17
LCL629^1,THM,1.00,1.00,1.00,1.00,1.00,1.00,0.22,0.12,0.25,0.14,0.17
LCL630^1,CSA,1.00,1.00,1.00,1.00,1.00,1.00,0.22,0.12,0.12,0.29,0.33
LCL631^1,CSA,1.00,1.00,1.00,1.00,1.00,1.00,0.33,0.25,0.25,0.43,0.50
LCL632^1,THM,1.00,1.00,1.00,1.00,1.00,1.00,0.22,0.12,0.12,0.29,0.33
LCL633^1,CSA,1.00,1.00,0.60,0.60,0.60,0.50,0.50,0.33,0.33,0.33,0.67
LCL634^1,CSA,1.00,1.00,0.80,0.80,0.80,0.75,0.75,0.67,0.67,0.67,0.67
LCL636+1.001,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL636+1.005,THM,0.06,0.20,0.29,0.29,0.19,0.19,0.00,0.00,0.00,0.07,0.21
LCL636+1.010,THM,0.88,1.00,0.86,0.86,0.95,0.94,0.86,0.83,0.75,0.86,0.93
LCL636+1.015,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL636+1.020,THM,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL637+1.001,CSA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL637+1.005,CSA,0.33,0.67,0.33,0.33,0.33,0.00,0.33,0.33,0.33,0.33,0.50
LCL637+1.010,CSA,1.00,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.75
LCL637+1.015,CSA,1.00,0.67,0.67,0.67,0.67,0.67,1.00,1.00,1.00,1.00,1.00
LCL637+1.020,CSA,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LCL638+1.001,THM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL638+1.005,THM,0.12,0.27,0.14,0.14,0.24,0.25,0.14,0.17,0.50,0.36,0.29
LCL638+1.010,THM,0.62,0.73,0.57,0.57,0.76,0.75,0.86,0.67,0.75,0.71,0.71
LCL638+1.015,THM,0.88,0.93,0.79,0.79,0.86,0.94,0.86,0.67,0.75,0.93,0.93
LCL638+1.020,THM,0.94,0.93,0.86,0.86,0.81,0.88,0.86,0.83,0.75,1.00,0.93
LCL639+1.001,CSA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LCL639+1.005,CSA,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.33,0.00
LCL639+1.010,CSA,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.33,0.00
LCL639+1.015,CSA,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.33,0.00
LCL639+1.020,CSA,0.67,0.33,0.00,0.00,0.00,0.33,0.00,0.00,0.33,0.33,0.50
LCL640+1.001,THM,0.00,0.07,0.07,0.07,0.00,0.12,0.00,0.00,0.00,0.00,0.07
LCL640+1.005,THM,0.06,0.20,0.29,0.29,0.33,0.25,0.14,0.17,0.00,0.14,0.21
LCL640+1.010,THM,0.19,0.33,0.43,0.43,0.43,0.31,0.43,0.50,0.25,0.36,0.36
LCL640+1.015,THM,0.19,0.33,0.36,0.36,0.38,0.31,0.43,0.67,0.50,0.36,0.36
LCL640+1.020,THM,0.38,0.47,0.50,0.50,0.48,0.38,0.57,0.67,0.75,0.57,0.50
LCL641+1.001,CSA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00
